"Commediasexi","2006","62044"
"Dreamgirls","2006","1125"
"Eragon","2006","2486"
"The Pursuit of Happyness","2006","1402"
"Salvage","2006","38065"
"Letters from Iwo Jima","2006","1251"
"Rocky Balboa","2006","1246"
"Curse of the Golden Flower","2006","1494"
"The Good Shepherd","2006","1247"
"Night at the Museum","2006","1593"
"We Are Marshall","2006","11170"
"Black Christmas","2006","9656"
"Children of Men","2006","9693"
"Notes on a Scandal","2006","1259"
"Arthur and the Invisibles","2006","9992"
"Pan's Labyrinth","2006","1417"
"Code Name: The Cleaner","2007","14396"
"Freedom Writers","2007","1646"
"Happily N'Ever After","2007","5393"
"Perfume: The Story of a Murderer","2007","1427"
"Three","2007","9753"
"Murder Party","2007","13561"
"Alpha Dog","2007","7457"
"Miss Potter","2007","13967"
"Primeval","2007","4283"
"Stomp the Yard","2007","1931"
"The Hitcher","2007","9542"
"The Painted Veil","2007","14202"
"Blood & Chocolate","2007","10075"
"Catch and Release","2007","13668"
"Epic Movie","2007","9760"
"Seraphim Falls","2007","13249"
"Smokin' Aces","2007","7516"
"Because I Said So","2007","1257"
"The Messengers","2007","9966"
"Hannibal Rising","2007","1248"
"Norbit","2007","9757"
"Pumpkinhead: Blood Feud","2007","35979"
"Daddy's Little Girls","2007","16555"
"Music and Lyrics","2007","11172"
"Breach","2007","4169"
"Bridge to Terabithia","2007","1265"
"Ghost Rider","2007","1250"
"Venus","2007","81931"
"The Abandoned","2007","10790"
"The Astronaut Farmer","2007","5172"
"The Number 23","2007","3594"
"Reno 911!: Miami","2007","10090"
"Black Snake Moan","2007","7874"
"Wild Hogs","2007","11199"
"Zodiac","2007","1949"
"300","2007","1271"
"Dead Silence","2007","14001"
"I Think I Love My Wife","2007","14434"
"Premonition","2007","9963"
"The Hills Have Eyes 2","2007","9793"
"The Last Mimzy","2007","2267"
"Pride","2007","16385"
"Reign Over Me","2007","2355"
"Shooter","2007","7485"
"TMNT","2007","1273"
"Blades of Glory","2007","9955"
"The Lookout","2007","8270"
"Meet the Robinsons","2007","1267"
"Are We Done Yet?","2007","10172"
"Firehouse Dog","2007","10107"
"The Reaping","2007","1683"
"Grindhouse","2007","285923"
"The Hoax","2007","9903"
"Aqua Teen Hunger Force Colon Movie Film for Theaters","2007","13158"
"Disturbia","2007","8271"
"Lonely Hearts","2007","1252"
"Pathfinder","2007","1534"
"Perfect Stranger","2007","7183"
"Redline","2007","16392"
"Slow Burn","2007","18777"
"Year of the Dog","2007","13574"
"Fracture","2007","6145"
"Hot Fuzz","2007","4638"
"In the Land of Women","2007","13067"
"The Tripper","2007","9847"
"Vacancy","2007","10294"
"The Condemned","2007","14636"
"The Invisible","2007","9785"
"Jindabyne","2007","4657"
"Kickin' It Old Skool","2007","13280"
"Next","2007","1738"
"Waitress","2007","10758"
"Away from Her","2007","1919"
"Lucky You","2007","1950"
"Spider-Man 3","2007","559"
"28 Weeks Later","2007","1562"
"Delta Farce","2007","14547"
"The Ex","2007","13171"
"Georgia Rule","2007","13159"
"Home of the Brave","2007","14171"
"ShowBusiness: The Road to Broadway","2007","79583"
"Once","2007","5723"
"Black Book","2007","9075"
"Even Money","2007","19126"
"Shrek the Third","2007","810"
"Angel-A","2007","11227"
"Bug","2007","12526"
"Pirates of the Caribbean: At World's End","2007","285"
"Day Watch","2007","2269"
"Gracie","2007","15568"
"Knocked Up","2007","4964"
"Mr. Brooks","2007","3432"
"Pierrepoint: The Last Hangman","2007","15185"
"Hostel: Part II","2007","1691"
"La Vie en rose","2007","1407"
"Ocean's Thirteen","2007","298"
"Surf's Up","2007","9408"
"DOA: Dead or Alive","2007","9053"
"Eagle vs Shark","2007","8748"
"Fantastic Four: Rise of the Silver Surfer","2007","1979"
"Nancy Drew","2007","14043"
"1408","2007","3021"
"Black Sheep","2007","3603"
"Evan Almighty","2007","2698"
"A Mighty Heart","2007","1988"
"You Kill Me","2007","8141"
"Live Free or Die Hard","2007","1571"
"Evening","2007","6022"
"Ratatouille","2007","2062"
"Sicko","2007","2359"
"License to Wed","2007","2959"
"Transformers","2007","1858"
"Clubland","2007","18425"
"Rescue Dawn","2007","9952"
"El Arca","2007","46219"
"Joshua","2007","5956"
"Rise: Blood Hunter","2007","1872"
"Harry Potter and the Order of the Phoenix","2007","675"
"Captivity","2007","14125"
"Interview","2007","8414"
"Talk to Me","2007","6535"
"Hairspray","2007","2976"
"I Now Pronounce You Chuck & Larry","2007","3563"
"Sunshine","2007","1272"
"Arctic Tale","2007","4658"
"I Know Who Killed Me","2007","5857"
"No Reservations","2007","3638"
"The Simpsons Movie","2007","35"
"Who's Your Caddy?","2007","15581"
"Becoming Jane","2007","2977"
"The Bourne Ultimatum","2007","2503"
"Bratz: The Movie","2007","14123"
"Hot Rod","2007","10074"
"Underdog","2007","6589"
"Daddy Day Camp","2007","14144"
"Rush Hour 3","2007","5174"
"Skinwalkers","2007","14219"
"Stardust","2007","2270"
"The Invasion","2007","4858"
"The Last Legion","2007","9703"
"Superbad","2007","8363"
"Mr. Bean's Holiday","2007","1268"
"The Nanny Diaries","2007","12435"
"Resurrecting the Champ","2007","13074"
"September Dawn","2007","14877"
"War","2007","10431"
"Balls of Fury","2007","9750"
"Death Sentence","2007","11835"
"Halloween","2007","2082"
"3:10 to Yuma","2007","5176"
"The Brothers Solomon","2007","10071"
"The Hunting Party","2007","5353"
"Shoot 'Em Up","2007","4141"
"Across the Universe","2007","4688"
"The Brave One","2007","4413"
"D-War","2007","10253"
"Eastern Promises","2007","2252"
"In the Valley of Elah","2007","6973"
"Mr. Woodcock","2007","13257"
"The Assassination of Jesse James by the Coward Robert Ford","2007","4512"
"Good Luck Chuck","2007","10030"
"Into the Wild","2007","5915"
"The Jane Austen Book Club","2007","5951"
"Resident Evil: Extinction","2007","7737"
"Sydney White","2007","10760"
"Feast of Love","2007","14313"
"The Game Plan","2007","13680"
"The Kingdom","2007","4349"
"The Darjeeling Limited","2007","4538"
"Feel the Noise","2007","30319"
"The Heartbreak Kid","2007","9038"
"Michael Clayton","2007","4566"
"The Seeker","2007","2274"
"Elizabeth: The Golden Age","2007","4517"
"The Final Season","2007","15669"
"Lars and the Real Girl","2007","6615"
"Sleuth","2007","4520"
"We Own the Night","2007","2001"
"Why Did I Get Married?","2007","17202"
"30 Days of Night","2007","4513"
"The Comebacks","2007","10759"
"Gone Baby Gone","2007","4771"
"Rendition","2007","5125"
"Reservation Road","2007","8954"
"Sarah Landon and the Paranormal Hour","2007","23327"
"The Ten Commandments","2007","22331"
"Things We Lost in the Fire","2007","3877"
"Before the Devil Knows You're Dead","2007","7972"
"Dan in Real Life","2007","7211"
"The Darjeeling Limited","2007","4538"
"Saw IV","2007","663"
"American Gangster","2007","4982"
"Bee Movie","2007","5559"
"Martian Child","2007","5126"
"Borderland","2007","13548"
"Fred Claus","2007","5375"
"Lions for Lambs","2007","4515"
"No Country For Old Men","2007","6977"
"P2","2007","13474"
"Beowulf","2007","2310"
"Love in the Time of Cholera","2007","6639"
"Margot at the Wedding","2007","13998"
"Mr. Magorium's Wonder Emporium","2007","2284"
"August Rush","2007","5123"
"Enchanted","2007","4523"
"Hitman","2007","1620"
"I'm Not There","2007","3902"
"The Mist","2007","5876"
"This Christmas","2007","15250"
"The Savages","2007","8272"
"Awake","2007","13483"
"Juno","2007","7326"
"Atonement","2007","4347"
"The Golden Compass","2007","2268"
"Grace Is Gone","2007","11161"
"Noelle","2007","51282"
"Revolver","2007","10851"
"The Perfect Holiday","2007","26990"
"Alvin and the Chipmunks","2007","6477"
"I Am Legend","2007","6479"
"The Kite Runner","2007","7979"
"Youth Without Youth","2007","7797"
"Charlie Wilson's War","2007","6538"
"National Treasure: Book of Secrets","2007","6637"
"P.S. I Love You","2007","6023"
"Sweeney Todd: The Demon Barber of Fleet Street","2007","13885"
"Walk Hard: The Dewey Cox Story","2007","6575"
"Aliens vs. Predator: Requiem","2007","440"
"The Bucket List","2007","7350"
"The Great Debaters","2007","14047"
"St Trinian's","2007","10748"
"The Water Horse: Legend of the Deep","2007","54318"
"There Will Be Blood","2007","7345"
"The Orphanage","2007","6537"
"One Missed Call","2008","6933"
"First Sunday","2008","14423"
"In the Name of the King","2008","2312"
"The Pirates Who Don't Do Anything: A VeggieTales Movie","2008","15511"
"27 Dresses","2008","6557"
"Cassandra's Dream","2008","4787"
"Cloverfield","2008","7191"
"Mad Money","2008","12085"
"Teeth","2008","13121"
"How She Move","2008","16988"
"Meet the Spartans","2008","7278"
"Minutemen","2008","22371"
"Rambo","2008","7555"
"Untraceable","2008","8090"
"Asterix at the Olympic Games","2008","2395"
"The Eye","2008","9030"
"Hannah Montana and Miley Cyrus: Best of Both Worlds Concert","2008","253353"
"Over Her Dead Body","2008","13160"
"Strange Wilderness","2008","14220"
"Fool's Gold","2008","8676"
"In Bruges","2008","8321"
"Welcome Home Roscoe Jenkins","2008","13490"
"Definitely, Maybe","2008","8390"
"Jumper","2008","8247"
"The Spiderwick Chronicles","2008","8204"
"Step Up 2: The Streets","2008","8328"
"Diary of the Dead","2008","13025"
"Be Kind Rewind","2008","4953"
"Charlie Bartlett","2008","8669"
"U2 3D","2008","37003"
"Vantage Point","2008","7461"
"Witless Protection","2008","15365"
"Bonneville","2008","16700"
"City of Men","2008","7343"
"The Other Boleyn Girl","2008","12184"
"Penelope","2008","7985"
"Semi-Pro","2008","13260"
"10,000 BC","2008","7840"
"The Bank Job","2008","8848"
"College Road Trip","2008","13493"
"Married Life","2008","8060"
"Miss Pettigrew Lives for a Day","2008","12178"
"Paranoid Park","2008","1990"
"Snow Angels","2008","14054"
"Doomsday","2008","13460"
"Dr. Seuss' Horton Hears a Who!","2008","12222"
"Funny Games","2008","8461"
"Never Back Down","2008","8456"
"Sleepwalking","2008","14349"
"Drillbit Taylor","2008","8457"
"The Grand","2008","128707"
"Meet the Browns","2008","16710"
"Shutter","2008","10885"
"Under the Same Moon","2008","32579"
"21","2008","8065"
"Run Fatboy Run","2008","7942"
"Stop-Loss","2008","8988"
"Superhero Movie","2008","11918"
"Leatherheads","2008","4942"
"My Blueberry Nights","2008","1989"
